time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002232,0.0539,0.4227,0.0157,0.426
0.007005,0.0539,0.4225,0.0159,0.426
0.015833,0.0538,0.4223,0.0161,0.426
0.025788,0.0538,0.4221,0.0164,0.426
0.036107,0.0538,0.4218,0.0166,0.426
0.049888,0.0538,0.4213,0.0169,0.425
0.057648,0.0538,0.4207,0.0171,0.425
0.066527,0.0537,0.4200,0.0174,0.424
0.076617,0.0536,0.4191,0.0176,0.423
0.086923,0.0536,0.4180,0.0179,0.422
0.096707,0.0535,0.4168,0.0182,0.421
0.107035,0.0534,0.4156,0.0184,0.419
0.117161,0.0533,0.4143,0.0187,0.418
0.132846,0.0531,0.4130,0.0190,0.417
0.139211,0.0530,0.4117,0.0193,0.416
0.147554,0.0529,0.4105,0.0196,0.414
0.157551,0.0528,0.4094,0.0199,0.413
0.167845,0.0527,0.4083,0.0202,0.412
0.177846,0.0526,0.4072,0.0205,0.411
0.189530,0.0525,0.4062,0.0208,0.410
0.198060,0.0524,0.4052,0.0211,0.409
0.208414,0.0523,0.4041,0.0214,0.408
0.218446,0.0521,0.4029,0.0216,0.407
0.232616,0.0520,0.4018,0.0219,0.406
0.239485,0.0518,0.4009,0.0222,0.405
0.248848,0.0517,0.4000,0.0224,0.404
0.259215,0.0516,0.3994,0.0227,0.403
0.269121,0.0516,0.3990,0.0229,0.403
0.279095,0.0515,0.3988,0.0232,0.403
0.289523,0.0515,0.3989,0.0235,0.403
0.299532,0.0515,0.3991,0.0237,0.403
0.309521,0.0516,0.3996,0.0240,0.404
0.319903,0.0517,0.4001,0.0243,0.404
0.333235,0.0518,0.4007,0.0246,0.405
0.341413,0.0519,0.4014,0.0248,0.405
0.350117,0.0520,0.4020,0.0251,0.406
0.360259,0.0521,0.4026,0.0254,0.407
0.370675,0.0523,0.4031,0.0256,0.407
0.380707,0.0524,0.4036,0.0258,0.408
0.390725,0.0526,0.4039,0.0260,0.408
0.400875,0.0528,0.4041,0.0263,0.408
0.410861,0.0529,0.4044,0.0265,0.409
0.432328,0.0531,0.4046,0.0267,0.409
0.433315,0.0533,0.4047,0.0268,0.409
0.441461,0.0535,0.4049,0.0270,0.409
0.451528,0.0537,0.4051,0.0272,0.410
0.461579,0.0539,0.4053,0.0274,0.410
0.473041,0.0541,0.4055,0.0276,0.410
0.481967,0.0543,0.4059,0.0278,0.410
0.492240,0.0545,0.4063,0.0280,0.411
0.502242,0.0548,0.4068,0.0281,0.411
0.512703,0.0550,0.4075,0.0283,0.412
0.533222,0.0552,0.4084,0.0285,0.413
0.534361,0.0555,0.4095,0.0286,0.414
0.542565,0.0558,0.4107,0.0288,0.415
0.552786,0.0560,0.4120,0.0289,0.417
0.562879,0.0563,0.4135,0.0291,0.418
0.573166,0.0566,0.4152,0.0292,0.420
0.583350,0.0569,0.4169,0.0293,0.422
0.593207,0.0571,0.4187,0.0294,0.424
0.603584,0.0574,0.4206,0.0295,0.425
0.613634,0.0576,0.4224,0.0296,0.427
0.632779,0.0579,0.4241,0.0297,0.429
0.633773,0.0580,0.4257,0.0298,0.431
0.643941,0.0582,0.4272,0.0298,0.432
0.655296,0.0583,0.4284,0.0298,0.433
0.664200,0.0584,0.4294,0.0298,0.434
0.674253,0.0585,0.4302,0.0298,0.435
0.684513,0.0585,0.4307,0.0298,0.436
0.694632,0.0584,0.4309,0.0298,0.436
0.705387,0.0584,0.4308,0.0297,0.436
0.714811,0.0583,0.4306,0.0297,0.436
0.725178,0.0582,0.4302,0.0297,0.435
0.735412,0.0581,0.4296,0.0297,0.434
0.749088,0.0579,0.4288,0.0297,0.434
0.755659,0.0577,0.4278,0.0297,0.433
0.765448,0.0575,0.4265,0.0298,0.431
0.775639,0.0573,0.4251,0.0298,0.430
0.785873,0.0570,0.4235,0.0298,0.428
0.795830,0.0566,0.4218,0.0299,0.427
0.806107,0.0563,0.4200,0.0299,0.425
0.816267,0.0559,0.4183,0.0300,0.423
0.831899,0.0556,0.4166,0.0301,0.421
0.836576,0.0552,0.4149,0.0302,0.420
0.846534,0.0549,0.4134,0.0303,0.418
0.856901,0.0545,0.4120,0.0304,0.417
0.866910,0.0542,0.4108,0.0305,0.415
0.876906,0.0539,0.4098,0.0306,0.414
0.888847,0.0536,0.4089,0.0308,0.414
0.897320,0.0533,0.4081,0.0309,0.413
0.908046,0.0530,0.4075,0.0310,0.412
0.917508,0.0527,0.4069,0.0312,0.411
0.927575,0.0524,0.4062,0.0313,0.411
0.938383,0.0521,0.4055,0.0314,0.410
0.948059,0.0518,0.4048,0.0315,0.409
0.958051,0.0514,0.4040,0.0316,0.408
0.968204,0.0511,0.4032,0.0316,0.408
0.978212,0.0508,0.4023,0.0317,0.407
0.988577,0.0504,0.4013,0.0317,0.406
0.998660,0.0501,0.4002,0.0318,0.405
1.008704,0.0498,0.3989,0.0318,0.403
1.019071,0.0495,0.3975,0.0318,0.402
1.028924,0.0492,0.3960,0.0318,0.400
1.039080,0.0489,0.3944,0.0319,0.399
1.049404,0.0486,0.3927,0.0319,0.397
1.059389,0.0483,0.3910,0.0319,0.395
1.069622,0.0480,0.3892,0.0320,0.393
1.079684,0.0478,0.3874,0.0320,0.392
1.089912,0.0476,0.3856,0.0321,0.390
1.100106,0.0474,0.3839,0.0321,0.388
1.110158,0.0472,0.3822,0.0322,0.386
1.126855,0.0470,0.3807,0.0323,0.385
1.130246,0.0469,0.3794,0.0324,0.384
1.140705,0.0468,0.3782,0.0325,0.382
1.150678,0.0468,0.3773,0.0326,0.382
1.160668,0.0468,0.3765,0.0328,0.381
1.171339,0.0468,0.3759,0.0330,0.380
1.181093,0.0469,0.3756,0.0331,0.380
1.191367,0.0470,0.3754,0.0333,0.380
1.201455,0.0472,0.3754,0.0335,0.380
1.211385,0.0473,0.3756,0.0337,0.380
1.228043,0.0475,0.3758,0.0339,0.380
1.231767,0.0477,0.3762,0.0341,0.381
1.241682,0.0479,0.3766,0.0342,0.381
1.252187,0.0481,0.3770,0.0344,0.382
1.262072,0.0484,0.3775,0.0346,0.382
1.272143,0.0486,0.3782,0.0347,0.383
1.282292,0.0489,0.3789,0.0349,0.384
1.292336,0.0491,0.3797,0.0350,0.384
1.302868,0.0494,0.3805,0.0352,0.385
1.312791,0.0497,0.3813,0.0353,0.386
1.327565,0.0499,0.3820,0.0355,0.387
1.333205,0.0501,0.3826,0.0356,0.388
1.343070,0.0503,0.3832,0.0358,0.388
1.354482,0.0505,0.3836,0.0359,0.389
1.363433,0.0507,0.3840,0.0360,0.389
1.373755,0.0509,0.3844,0.0362,0.389
1.383675,0.0510,0.3846,0.0363,0.390
1.393942,0.0512,0.3849,0.0364,0.390
1.404773,0.0513,0.3853,0.0365,0.390
1.414268,0.0515,0.3858,0.0367,0.391
1.424277,0.0516,0.3864,0.0369,0.392
1.434500,0.0518,0.3872,0.0371,0.392
1.444480,0.0520,0.3882,0.0373,0.393
1.454906,0.0522,0.3893,0.0375,0.395
1.464893,0.0524,0.3904,0.0377,0.396
1.474937,0.0526,0.3916,0.0379,0.397
1.485093,0.0528,0.3927,0.0381,0.398
1.495268,0.0529,0.3938,0.0382,0.399
1.505372,0.0531,0.3947,0.0383,0.400
1.515471,0.0532,0.3954,0.0384,0.401
1.525576,0.0533,0.3960,0.0385,0.401
1.535539,0.0533,0.3964,0.0385,0.402
1.545777,0.0534,0.3967,0.0386,0.402
1.556085,0.0534,0.3968,0.0386,0.402
1.566359,0.0534,0.3969,0.0385,0.402
1.576053,0.0534,0.3970,0.0385,0.402
1.587645,0.0534,0.3970,0.0385,0.402
1.596433,0.0534,0.3971,0.0384,0.402
1.606706,0.0534,0.3971,0.0384,0.402
1.616864,0.0534,0.3971,0.0383,0.402
1.626663,0.0533,0.3971,0.0383,0.402
1.637376,0.0533,0.3971,0.0382,0.402
1.647200,0.0532,0.3970,0.0382,0.402
1.657330,0.0531,0.3970,0.0381,0.402
1.667645,0.0531,0.3969,0.0381,0.402
1.677387,0.0530,0.3969,0.0381,0.402
1.687498,0.0529,0.3969,0.0381,0.402
1.698029,0.0528,0.3971,0.0381,0.402
1.707777,0.0528,0.3973,0.0381,0.403
1.718186,0.0528,0.3977,0.0381,0.403
1.728070,0.0527,0.3983,0.0382,0.404
1.738217,0.0528,0.3990,0.0382,0.404
1.748468,0.0528,0.3998,0.0383,0.405
1.758406,0.0528,0.4008,0.0384,0.406
1.768831,0.0529,0.4017,0.0385,0.407
1.778821,0.0529,0.4027,0.0386,0.408
1.789096,0.0530,0.4036,0.0387,0.409
1.799453,0.0531,0.4044,0.0387,0.410
1.809099,0.0531,0.4052,0.0388,0.411
1.825918,0.0532,0.4059,0.0388,0.411
1.829334,0.0533,0.4065,0.0388,0.412
1.840438,0.0534,0.4071,0.0388,0.412
1.849840,0.0535,0.4075,0.0388,0.413
1.859791,0.0536,0.4079,0.0388,0.413
1.870880,0.0537,0.4081,0.0387,0.413
1.880092,0.0538,0.4083,0.0387,0.414
1.890151,0.0539,0.4084,0.0386,0.414
