time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002724,-0.0228,0.4189,0.0015,0.420
0.008578,-0.0227,0.4195,0.0013,0.420
0.018089,-0.0227,0.4199,0.0012,0.420
0.028182,-0.0226,0.4201,0.0011,0.421
0.039807,-0.0225,0.4201,0.0011,0.421
0.048669,-0.0223,0.4199,0.0010,0.421
0.058778,-0.0221,0.4195,0.0010,0.420
0.068673,-0.0219,0.4189,0.0010,0.419
0.082364,-0.0216,0.4180,0.0010,0.419
0.089507,-0.0213,0.4169,0.0011,0.417
0.099212,-0.0210,0.4155,0.0011,0.416
0.109136,-0.0207,0.4140,0.0012,0.414
0.119459,-0.0203,0.4121,0.0013,0.413
0.129388,-0.0198,0.4100,0.0015,0.410
0.139604,-0.0194,0.4076,0.0016,0.408
0.149765,-0.0189,0.4051,0.0018,0.406
0.159724,-0.0184,0.4024,0.0019,0.403
0.170087,-0.0179,0.3996,0.0021,0.400
0.183137,-0.0173,0.3969,0.0023,0.397
0.190393,-0.0168,0.3943,0.0024,0.395
0.200384,-0.0163,0.3919,0.0026,0.392
0.210541,-0.0158,0.3898,0.0028,0.390
0.220559,-0.0153,0.3879,0.0029,0.388
0.230760,-0.0148,0.3865,0.0030,0.387
0.240980,-0.0143,0.3854,0.0032,0.386
0.251190,-0.0139,0.3847,0.0033,0.385
0.260996,-0.0135,0.3843,0.0033,0.385
0.283985,-0.0130,0.3841,0.0034,0.384
0.284756,-0.0126,0.3840,0.0035,0.384
0.291574,-0.0122,0.3839,0.0035,0.384
0.301720,-0.0118,0.3837,0.0035,0.384
0.311743,-0.0114,0.3833,0.0035,0.384
0.322173,-0.0110,0.3827,0.0035,0.383
0.332118,-0.0106,0.3818,0.0035,0.382
0.342054,-0.0102,0.3806,0.0035,0.381
0.352469,-0.0098,0.3790,0.0034,0.379
0.362329,-0.0094,0.3769,0.0034,0.377
0.382476,-0.0091,0.3745,0.0034,0.375
0.383530,-0.0087,0.3716,0.0033,0.372
0.392759,-0.0084,0.3684,0.0033,0.368
0.403176,-0.0081,0.3649,0.0032,0.365
0.413098,-0.0078,0.3613,0.0032,0.361
0.423521,-0.0075,0.3575,0.0031,0.358
0.433647,-0.0072,0.3536,0.0031,0.354
0.443429,-0.0070,0.3497,0.0030,0.350
0.454070,-0.0068,0.3456,0.0029,0.346
0.463679,-0.0066,0.3416,0.0028,0.342
0.483352,-0.0065,0.3375,0.0027,0.338
0.484662,-0.0064,0.3335,0.0026,0.334
0.494049,-0.0063,0.3295,0.0025,0.330
0.505174,-0.0064,0.3258,0.0023,0.326
0.514475,-0.0064,0.3222,0.0022,0.322
0.524713,-0.0066,0.3189,0.0020,0.319
0.534903,-0.0068,0.3160,0.0019,0.316
0.544736,-0.0070,0.3137,0.0017,0.314
0.555382,-0.0073,0.3121,0.0016,0.312
0.564982,-0.0077,0.3112,0.0015,0.311
0.582665,-0.0081,0.3112,0.0014,0.311
0.585311,-0.0085,0.3119,0.0013,0.312
0.595455,-0.0090,0.3132,0.0013,0.313
0.605589,-0.0096,0.3148,0.0012,0.315
0.615796,-0.0102,0.3166,0.0012,0.317
0.625776,-0.0108,0.3184,0.0012,0.319
0.636265,-0.0115,0.3199,0.0012,0.320
0.646045,-0.0123,0.3211,0.0012,0.321
0.665873,-0.0131,0.3219,0.0012,0.322
0.666961,-0.0139,0.3222,0.0012,0.322
0.676487,-0.0147,0.3220,0.0012,0.322
0.686798,-0.0156,0.3216,0.0012,0.322
0.696927,-0.0165,0.3210,0.0013,0.321
0.707169,-0.0174,0.3204,0.0014,0.321
0.717182,-0.0184,0.3197,0.0015,0.320
0.727140,-0.0193,0.3190,0.0016,0.320
0.738541,-0.0202,0.3184,0.0018,0.319
0.747499,-0.0210,0.3177,0.0020,0.318
0.757891,-0.0219,0.3168,0.0022,0.318
0.767873,-0.0227,0.3159,0.0024,0.317
0.782346,-0.0235,0.3151,0.0026,0.316
0.787930,-0.0243,0.3143,0.0028,0.315
0.798270,-0.0251,0.3140,0.0029,0.315
0.810235,-0.0259,0.3143,0.0031,0.315
0.818610,-0.0268,0.3155,0.0032,0.317
0.828457,-0.0278,0.3178,0.0033,0.319
0.838575,-0.0288,0.3215,0.0035,0.323
0.848804,-0.0300,0.3268,0.0037,0.328
0.858877,-0.0313,0.3338,0.0039,0.335
0.869167,-0.0328,0.3428,0.0042,0.344
0.879110,-0.0345,0.3536,0.0045,0.355
0.889649,-0.0363,0.3666,0.0050,0.368
0.899673,-0.0385,0.3817,0.0055,0.384
0.909494,-0.0409,0.3994,0.0061,0.402
0.919903,-0.0436,0.4200,0.0067,0.422
0.929974,-0.0468,0.4439,0.0074,0.446
0.940074,-0.0505,0.4714,0.0081,0.474
0.950349,-0.0546,0.5024,0.0086,0.505
0.960366,-0.0592,0.5368,0.0091,0.540
0.976777,-0.0643,0.5743,0.0093,0.578
0.980421,-0.0697,0.6142,0.0092,0.618
0.990833,-0.0754,0.6555,0.0089,0.660
1.001190,-0.0810,0.6969,0.0082,0.702
1.010804,-0.0864,0.7370,0.0071,0.742
1.021310,-0.0914,0.7746,0.0056,0.780
1.031025,-0.0958,0.8085,0.0039,0.814
1.041230,-0.0994,0.8383,0.0020,0.844
1.051564,-0.1023,0.8636,-0.0001,0.870
1.061967,-0.1044,0.8843,-0.0024,0.890
1.077443,-0.1059,0.9006,-0.0046,0.907
1.081813,-0.1067,0.9130,-0.0069,0.919
1.091839,-0.1071,0.9220,-0.0093,0.928
1.102444,-0.1071,0.9283,-0.0117,0.935
1.112160,-0.1067,0.9322,-0.0143,0.938
1.122684,-0.1059,0.9338,-0.0170,0.940
1.132504,-0.1048,0.9329,-0.0198,0.939
1.142848,-0.1033,0.9291,-0.0226,0.935
1.152963,-0.1011,0.9219,-0.0253,0.928
1.163053,-0.0984,0.9109,-0.0279,0.917
1.176941,-0.0950,0.8958,-0.0302,0.901
1.183125,-0.0910,0.8765,-0.0322,0.882
1.193175,-0.0866,0.8534,-0.0339,0.858
1.204330,-0.0817,0.8270,-0.0351,0.832
1.213673,-0.0768,0.7985,-0.0359,0.803
1.223774,-0.0718,0.7688,-0.0364,0.773
1.233995,-0.0671,0.7392,-0.0367,0.743
1.243983,-0.0626,0.7105,-0.0368,0.714
1.254442,-0.0584,0.6837,-0.0369,0.687
1.264583,-0.0547,0.6594,-0.0370,0.663
1.274235,-0.0514,0.6381,-0.0372,0.641
1.284776,-0.0483,0.6201,-0.0377,0.623
1.294434,-0.0456,0.6053,-0.0383,0.608
1.305024,-0.0431,0.5934,-0.0391,0.596
1.314824,-0.0408,0.5840,-0.0401,0.587
1.324965,-0.0385,0.5768,-0.0412,0.580
1.335383,-0.0363,0.5720,-0.0423,0.575
1.345227,-0.0343,0.5698,-0.0436,0.573
1.355378,-0.0324,0.5706,-0.0450,0.573
1.365931,-0.0306,0.5748,-0.0465,0.577
1.376693,-0.0291,0.5828,-0.0482,0.586
1.385954,-0.0277,0.5951,-0.0501,0.598
1.395884,-0.0265,0.6121,-0.0524,0.615
1.406121,-0.0254,0.6339,-0.0551,0.637
1.416368,-0.0243,0.6603,-0.0582,0.663
1.426257,-0.0232,0.6906,-0.0618,0.694
1.437457,-0.0219,0.7242,-0.0657,0.728
1.446923,-0.0203,0.7599,-0.0699,0.763
1.456757,-0.0184,0.7963,-0.0742,0.800
1.467160,-0.0162,0.8322,-0.0786,0.836
1.476958,-0.0137,0.8663,-0.0829,0.870
1.487434,-0.0109,0.8978,-0.0869,0.902
1.497426,-0.0079,0.9264,-0.0907,0.931
1.507371,-0.0050,0.9518,-0.0941,0.956
1.517843,-0.0022,0.9745,-0.0972,0.979
1.527612,0.0004,0.9951,-0.1000,1.000
1.537722,0.0027,1.0140,-0.1027,1.019
1.548074,0.0047,1.0315,-0.1052,1.037
1.557966,0.0063,1.0480,-0.1077,1.054
1.568357,0.0078,1.0637,-0.1104,1.069
1.578244,0.0091,1.0790,-0.1132,1.085
1.588610,0.0104,1.0939,-0.1162,1.100
1.598558,0.0118,1.1079,-0.1193,1.114
1.608678,0.0132,1.1207,-0.1225,1.127
1.619137,0.0146,1.1318,-0.1257,1.139
1.629072,0.0161,1.1410,-0.1289,1.148
1.639888,0.0174,1.1484,-0.1319,1.156
1.649770,0.0186,1.1542,-0.1348,1.162
1.659505,0.0196,1.1591,-0.1375,1.167
1.676066,0.0204,1.1635,-0.1400,1.172
1.679433,0.0208,1.1680,-0.1423,1.177
1.689842,0.0209,1.1726,-0.1445,1.182
1.699909,0.0208,1.1773,-0.1466,1.187
1.709934,0.0204,1.1818,-0.1485,1.191
1.720409,0.0198,1.1851,-0.1502,1.195
1.730447,0.0192,1.1866,-0.1518,1.196
1.740334,0.0185,1.1852,-0.1530,1.195
1.750763,0.0179,1.1803,-0.1538,1.190
1.760582,0.0171,1.1710,-0.1541,1.181
1.776131,0.0163,1.1565,-0.1536,1.167
1.780892,0.0153,1.1361,-0.1522,1.146
1.791025,0.0139,1.1096,-0.1498,1.120
1.801481,0.0122,1.0772,-0.1464,1.087
1.811362,0.0102,1.0392,-0.1419,1.049
1.821484,0.0078,0.9965,-0.1366,1.006
1.831890,0.0052,0.9500,-0.1305,0.959
1.841664,0.0024,0.9005,-0.1240,0.909
1.852194,-0.0004,0.8488,-0.1171,0.857
1.862205,-0.0031,0.7955,-0.1101,0.803
1.876103,-0.0055,0.7413,-0.1031,0.748
1.882210,-0.0076,0.6869,-0.0962,0.694
1.892400,-0.0092,0.6330,-0.0894,0.639
1.903471,-0.0105,0.5801,-0.0827,0.586
1.912781,-0.0114,0.5284,-0.0762,0.534
1.922943,-0.0120,0.4783,-0.0698,0.484
1.933187,-0.0124,0.4303,-0.0635,0.435
1.943090,-0.0124,0.3848,-0.0573,0.389
1.954626,-0.0123,0.3426,-0.0513,0.347
1.963599,-0.0121,0.3048,-0.0458,0.308
1.973637,-0.0119,0.2722,-0.0410,0.276
1.983864,-0.0117,0.2456,-0.0369,0.249
1.993806,-0.0116,0.2256,-0.0337,0.228
2.003799,-0.0117,0.2125,-0.0315,0.215
2.013922,-0.0121,0.2064,-0.0304,0.209
2.024001,-0.0128,0.2072,-0.0303,0.210
2.034506,-0.0138,0.2141,-0.0312,0.217
2.044315,-0.0151,0.2265,-0.0329,0.229
2.054503,-0.0167,0.2432,-0.0353,0.246
2.064589,-0.0184,0.2630,-0.0382,0.266
2.074899,-0.0202,0.2845,-0.0414,0.288
2.085009,-0.0220,0.3063,-0.0447,0.310
2.095123,-0.0237,0.3273,-0.0479,0.332
2.105567,-0.0253,0.3467,-0.0508,0.351
2.115527,-0.0267,0.3639,-0.0534,0.369
2.125381,-0.0278,0.3790,-0.0555,0.384
2.136813,-0.0288,0.3918,-0.0572,0.397
2.145677,-0.0296,0.4027,-0.0586,0.408
2.156113,-0.0302,0.4117,-0.0595,0.417
2.166196,-0.0307,0.4188,-0.0602,0.424
2.176072,-0.0311,0.4243,-0.0607,0.430
2.186620,-0.0313,0.4283,-0.0610,0.434
2.196299,-0.0314,0.4312,-0.0612,0.437
2.206361,-0.0315,0.4332,-0.0614,0.439
2.216832,-0.0316,0.4344,-0.0616,0.440
2.226655,-0.0316,0.4352,-0.0617,0.441
2.237630,-0.0317,0.4359,-0.0618,0.441
2.246994,-0.0318,0.4366,-0.0619,0.442
2.257049,-0.0320,0.4377,-0.0618,0.443
2.267469,-0.0322,0.4393,-0.0617,0.445
2.277427,-0.0324,0.4417,-0.0616,0.447
2.287607,-0.0326,0.4452,-0.0615,0.451
2.297709,-0.0328,0.4496,-0.0614,0.455
2.307787,-0.0330,0.4550,-0.0615,0.460
2.318408,-0.0330,0.4610,-0.0616,0.466
2.328160,-0.0329,0.4672,-0.0618,0.472
2.338594,-0.0326,0.4727,-0.0620,0.478
2.348571,-0.0320,0.4770,-0.0623,0.482
2.358456,-0.0311,0.4793,-0.0624,0.484
2.375362,-0.0299,0.4790,-0.0624,0.484
2.378637,-0.0283,0.4755,-0.0620,0.480
2.388844,-0.0265,0.4683,-0.0612,0.473
2.399239,-0.0243,0.4570,-0.0599,0.462
2.408996,-0.0220,0.4414,-0.0581,0.446
2.419446,-0.0194,0.4214,-0.0556,0.426
2.429212,-0.0168,0.3973,-0.0525,0.401
2.439436,-0.0142,0.3693,-0.0489,0.373
2.449887,-0.0117,0.3378,-0.0447,0.341
2.459813,-0.0093,0.3034,-0.0402,0.306
2.475246,-0.0070,0.2668,-0.0354,0.269
2.479973,-0.0051,0.2290,-0.0304,0.231
2.490206,-0.0035,0.1908,-0.0253,0.193
2.500425,-0.0021,0.1537,-0.0204,0.155
2.510304,-0.0012,0.1189,-0.0157,0.120
2.520978,-0.0005,0.0875,-0.0115,0.088
2.530701,-0.0001,0.0609,-0.0079,0.061
2.540852,0.0001,0.0402,-0.0051,0.040
2.550999,0.0001,0.0263,-0.0033,0.027
2.561106,0.0002,0.0201,-0.0025,0.020
2.575002,0.0003,0.0220,-0.0027,0.022
2.581341,0.0005,0.0319,-0.0037,0.032
2.591467,0.0009,0.0494,-0.0057,0.050
2.602417,0.0015,0.0737,-0.0083,0.074
2.611630,0.0023,0.1036,-0.0114,0.104
2.622105,0.0033,0.1378,-0.0149,0.139
2.632139,0.0044,0.1753,-0.0188,0.176
2.642171,0.0055,0.2151,-0.0228,0.216
2.652440,0.0067,0.2564,-0.0272,0.258
2.662884,0.0078,0.2989,-0.0316,0.301
2.672460,0.0088,0.3421,-0.0363,0.344
2.682900,0.0098,0.3858,-0.0410,0.388
2.692631,0.0106,0.4297,-0.0459,0.432
2.703641,0.0114,0.4736,-0.0509,0.476
2.713213,0.0121,0.5169,-0.0560,0.520
2.723179,0.0127,0.5594,-0.0613,0.563
2.733546,0.0133,0.6003,-0.0666,0.604
2.743371,0.0139,0.6388,-0.0721,0.643
2.753597,0.0145,0.6740,-0.0775,0.679
2.763895,0.0151,0.7052,-0.0827,0.710
2.774640,0.0156,0.7319,-0.0877,0.737
2.785599,0.0161,0.7538,-0.0923,0.760
2.794063,0.0166,0.7710,-0.0964,0.777
2.804220,0.0169,0.7839,-0.0998,0.790
2.814637,0.0171,0.7932,-0.1026,0.800
2.824443,0.0171,0.7996,-0.1046,0.807
2.835665,0.0170,0.8036,-0.1060,0.811
2.844864,0.0166,0.8060,-0.1069,0.813
2.854974,0.0161,0.8068,-0.1072,0.814
2.865399,0.0154,0.8064,-0.1070,0.814
2.875238,0.0144,0.8046,-0.1065,0.812
2.885486,0.0132,0.8009,-0.1057,0.808
2.895443,0.0118,0.7947,-0.1045,0.802
2.905507,0.0101,0.7855,-0.1030,0.792
2.915871,0.0081,0.7723,-0.1011,0.779
2.925904,0.0060,0.7547,-0.0987,0.761
2.935779,0.0037,0.7321,-0.0959,0.738
2.946403,0.0013,0.7045,-0.0925,0.711
2.956280,-0.0011,0.6721,-0.0886,0.678
2.966823,-0.0034,0.6353,-0.0841,0.641
2.976331,-0.0056,0.5948,-0.0793,0.600
2.987165,-0.0075,0.5514,-0.0740,0.556
2.996815,-0.0090,0.5060,-0.0685,0.511
3.006832,-0.0102,0.4593,-0.0628,0.464
3.017167,-0.0110,0.4120,-0.0569,0.416
3.027305,-0.0114,0.3646,-0.0510,0.368
3.037195,-0.0114,0.3175,-0.0449,0.321
3.047749,-0.0110,0.2712,-0.0388,0.274
3.057571,-0.0102,0.2258,-0.0327,0.228
3.068786,-0.0091,0.1819,-0.0266,0.184
3.078026,-0.0077,0.1400,-0.0206,0.142
3.091490,-0.0060,0.1011,-0.0150,0.102
3.098120,-0.0043,0.0661,-0.0098,0.067
3.108291,-0.0025,0.0364,-0.0054,0.037
3.118722,-0.0010,0.0130,-0.0019,0.013
3.128394,0.0002,-0.0029,0.0004,0.003
3.138425,0.0009,-0.0106,0.0015,0.011
3.148931,0.0009,-0.0098,0.0014,0.010
3.158802,0.0001,-0.0006,0.0001,0.001
3.173569,-0.0015,0.0162,-0.0023,0.016
3.179095,-0.0038,0.0396,-0.0055,0.040
3.189184,-0.0066,0.0680,-0.0094,0.069
3.199484,-0.0099,0.1000,-0.0138,0.101
3.209497,-0.0133,0.1339,-0.0184,0.136
3.219646,-0.0168,0.1686,-0.0231,0.171
3.230035,-0.0202,0.2032,-0.0278,0.206
3.239798,-0.0235,0.2373,-0.0325,0.241
3.250339,-0.0267,0.2708,-0.0371,0.275
3.260075,-0.0297,0.3040,-0.0416,0.308
3.274363,-0.0327,0.3374,-0.0462,0.342
3.280381,-0.0357,0.3711,-0.0509,0.376
3.290484,-0.0388,0.4052,-0.0557,0.411
3.301790,-0.0418,0.4396,-0.0607,0.446
3.311057,-0.0449,0.4737,-0.0659,0.480
3.321135,-0.0479,0.5068,-0.0711,0.514
3.331391,-0.0508,0.5383,-0.0763,0.546
3.341102,-0.0535,0.5673,-0.0814,0.576
3.351529,-0.0559,0.5934,-0.0862,0.602
3.361421,-0.0582,0.6163,-0.0907,0.626
3.371533,-0.0602,0.6361,-0.0947,0.646
3.381585,-0.0619,0.6531,-0.0982,0.663
3.391769,-0.0634,0.6678,-0.1012,0.678
3.402497,-0.0647,0.6810,-0.1039,0.692
3.412309,-0.0659,0.6932,-0.1061,0.704
3.422222,-0.0668,0.7050,-0.1082,0.716
3.432600,-0.0676,0.7169,-0.1100,0.728
3.442403,-0.0681,0.7287,-0.1118,0.740
3.452914,-0.0682,0.7401,-0.1136,0.752
3.463073,-0.0679,0.7505,-0.1152,0.762
3.472919,-0.0671,0.7590,-0.1166,0.771
