time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002378,0.0114,0.3675,0.0585,0.372
0.016197,0.0114,0.3679,0.0582,0.373
0.017186,0.0114,0.3683,0.0580,0.373
0.034100,0.0114,0.3687,0.0577,0.373
0.037269,0.0113,0.3692,0.0575,0.374
0.047466,0.0113,0.3696,0.0572,0.374
0.057865,0.0113,0.3700,0.0569,0.375
0.067915,0.0113,0.3704,0.0567,0.375
0.078031,0.0112,0.3707,0.0564,0.375
0.088164,0.0112,0.3711,0.0561,0.375
0.099015,0.0112,0.3713,0.0558,0.376
0.108319,0.0112,0.3716,0.0556,0.376
0.118464,0.0112,0.3717,0.0553,0.376
0.128632,0.0111,0.3718,0.0550,0.376
0.139597,0.0111,0.3719,0.0547,0.376
0.148656,0.0111,0.3719,0.0544,0.376
0.158992,0.0110,0.3718,0.0541,0.376
0.169176,0.0110,0.3717,0.0539,0.376
0.179031,0.0110,0.3715,0.0536,0.375
0.199784,0.0109,0.3712,0.0533,0.375
0.200778,0.0109,0.3708,0.0531,0.375
0.209328,0.0109,0.3703,0.0528,0.374
0.219546,0.0108,0.3697,0.0526,0.374
0.229685,0.0108,0.3691,0.0524,0.373
0.240531,0.0107,0.3685,0.0522,0.372
0.250066,0.0107,0.3679,0.0521,0.372
0.260121,0.0106,0.3673,0.0520,0.371
0.270490,0.0106,0.3668,0.0520,0.371
0.284013,0.0105,0.3663,0.0520,0.370
0.290461,0.0105,0.3659,0.0521,0.370
0.300672,0.0104,0.3655,0.0521,0.369
0.310693,0.0103,0.3650,0.0523,0.369
0.321182,0.0102,0.3647,0.0525,0.369
0.331204,0.0101,0.3643,0.0527,0.368
0.341413,0.0100,0.3639,0.0529,0.368
0.351338,0.0098,0.3634,0.0532,0.367
0.361361,0.0096,0.3629,0.0535,0.367
0.382965,0.0094,0.3625,0.0538,0.367
0.384263,0.0091,0.3620,0.0542,0.366
0.391902,0.0088,0.3617,0.0546,0.366
0.402011,0.0085,0.3613,0.0550,0.366
0.412087,0.0081,0.3610,0.0554,0.365
0.422558,0.0077,0.3607,0.0558,0.365
0.432281,0.0073,0.3604,0.0562,0.365
0.442405,0.0068,0.3601,0.0567,0.365
0.452787,0.0063,0.3598,0.0571,0.364
0.462842,0.0058,0.3594,0.0575,0.364
0.483269,0.0053,0.3589,0.0579,0.364
0.484452,0.0047,0.3583,0.0583,0.363
0.493040,0.0042,0.3575,0.0586,0.362
0.503380,0.0036,0.3565,0.0588,0.361
0.513300,0.0030,0.3552,0.0590,0.360
0.523888,0.0025,0.3533,0.0591,0.358
0.533867,0.0019,0.3509,0.0590,0.356
