time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002925,-0.0160,0.3969,0.0369,0.399
0.012093,-0.0159,0.3969,0.0370,0.399
0.027094,-0.0159,0.3968,0.0372,0.399
0.028117,-0.0159,0.3966,0.0374,0.399
0.038373,-0.0158,0.3963,0.0375,0.398
0.048572,-0.0158,0.3960,0.0377,0.398
0.058774,-0.0158,0.3957,0.0378,0.398
0.068970,-0.0157,0.3954,0.0379,0.398
0.079022,-0.0157,0.3952,0.0381,0.397
0.090548,-0.0156,0.3952,0.0382,0.397
0.099230,-0.0156,0.3954,0.0383,0.398
0.109748,-0.0156,0.3957,0.0385,0.398
0.119411,-0.0155,0.3961,0.0386,0.398
0.129773,-0.0155,0.3967,0.0387,0.399
0.139685,-0.0154,0.3973,0.0388,0.399
0.150161,-0.0154,0.3979,0.0390,0.400
0.159867,-0.0153,0.3986,0.0391,0.401
0.170013,-0.0153,0.3992,0.0392,0.401
0.180378,-0.0152,0.3996,0.0393,0.402
0.191170,-0.0152,0.4000,0.0394,0.402
0.200950,-0.0151,0.4003,0.0394,0.402
0.210825,-0.0151,0.4004,0.0395,0.403
0.220659,-0.0150,0.4005,0.0396,0.403
0.231722,-0.0150,0.4005,0.0396,0.403
0.240899,-0.0149,0.4004,0.0397,0.403
0.251032,-0.0149,0.4004,0.0397,0.403
0.261248,-0.0148,0.4003,0.0398,0.403
0.271367,-0.0148,0.4003,0.0398,0.403
0.291848,-0.0147,0.4002,0.0399,0.402
0.292774,-0.0147,0.3999,0.0399,0.402
0.301695,-0.0146,0.3995,0.0400,0.402
0.312017,-0.0145,0.3989,0.0400,0.401
0.321970,-0.0145,0.3981,0.0401,0.400
0.332221,-0.0144,0.3972,0.0401,0.399
0.342427,-0.0143,0.3961,0.0402,0.398
0.352357,-0.0141,0.3950,0.0402,0.397
0.362649,-0.0140,0.3937,0.0402,0.396
0.372986,-0.0139,0.3925,0.0402,0.395
0.391175,-0.0137,0.3913,0.0403,0.394
0.392997,-0.0136,0.3902,0.0403,0.393
0.402984,-0.0134,0.3892,0.0403,0.392
0.414736,-0.0133,0.3882,0.0403,0.391
0.423285,-0.0131,0.3873,0.0403,0.390
0.433882,-0.0129,0.3863,0.0403,0.389
0.443672,-0.0128,0.3852,0.0403,0.388
0.453726,-0.0126,0.3839,0.0402,0.386
0.464732,-0.0124,0.3824,0.0401,0.385
0.474068,-0.0122,0.3805,0.0400,0.383
0.491462,-0.0120,0.3784,0.0399,0.381
0.494542,-0.0119,0.3759,0.0397,0.378
0.504336,-0.0117,0.3732,0.0394,0.375
0.514600,-0.0116,0.3701,0.0391,0.372
0.524916,-0.0114,0.3667,0.0388,0.369
0.534742,-0.0113,0.3631,0.0385,0.365
0.545225,-0.0113,0.3591,0.0381,0.361
0.555096,-0.0113,0.3549,0.0377,0.357
0.565220,-0.0113,0.3504,0.0373,0.353
0.575266,-0.0113,0.3459,0.0369,0.348
0.591693,-0.0114,0.3412,0.0364,0.343
0.595697,-0.0115,0.3365,0.0360,0.339
0.605848,-0.0116,0.3318,0.0356,0.334
0.616166,-0.0117,0.3272,0.0351,0.329
0.626129,-0.0119,0.3227,0.0347,0.325
0.636061,-0.0120,0.3184,0.0343,0.320
0.646358,-0.0122,0.3144,0.0339,0.316
0.656725,-0.0123,0.3107,0.0336,0.313
0.666717,-0.0125,0.3075,0.0333,0.310
0.676861,-0.0127,0.3047,0.0330,0.307
0.692062,-0.0129,0.3024,0.0329,0.304
0.697393,-0.0131,0.3006,0.0327,0.303
0.706960,-0.0133,0.2995,0.0327,0.302
0.717142,-0.0136,0.2991,0.0328,0.301
0.727288,-0.0138,0.2996,0.0330,0.302
0.737355,-0.0141,0.3010,0.0334,0.303
0.747639,-0.0144,0.3036,0.0339,0.306
0.757654,-0.0147,0.3071,0.0345,0.309
0.767705,-0.0150,0.3116,0.0352,0.314
0.778134,-0.0154,0.3169,0.0360,0.319
0.787914,-0.0158,0.3229,0.0369,0.325
0.798427,-0.0162,0.3293,0.0379,0.332
0.808316,-0.0167,0.3360,0.0389,0.339
0.818479,-0.0172,0.3425,0.0399,0.345
0.828807,-0.0177,0.3486,0.0408,0.351
